FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1512863|Snag Peak|Summit|WA|53|Clallam|009|481228N|1243116W|48.2076643|-124.5210644|||||619|2031|Umbrella Creek|06/01/1992|08/15/2017
373634|Little Hangman Creek|Stream|WA|53|Whitman|075|471327N|1170436W|47.2240647|-117.076566|471714N|1165445W|47.2872222|-116.9125|758|2487|Tekoa|06/21/1979|06/24/2009
1506783|Moran Prairie|Flat|WA|53|Spokane|063|473617N|1172203W|47.604615|-117.3674304|||||723|2372|Spokane SE|09/10/1979|
1534092|Edgar Rock Lookout Tower|Tower|WA|53|Yakima|077|465546N|1210335W|46.9295627|-121.0598037|||||1116|3661|Cliffdell|10/01/1991|
1527040|The Hump|Summit|WA|53|Skamania|059|461149N|1213344W|46.1970288|-121.5621875|||||2013|6604|Mount Adams West|09/10/1979|03/14/2020
1532509|Mark Res Dam|Dam|WA|53|Klickitat|039|454517N|1210928W|45.7548444|-121.1578485|||||644|2113|Klickitat|11/01/1991|
1504825|Falls Creek|Stream|WA|53|Grays Harbor|027|470158N|1232219W|47.0328733|-123.3718236|470439N|1232355W|47.0775947|-123.3984917|54|177|McCleary|09/10/1979|
1508701|Starvout Ridge|Ridge|WA|53|Columbia|013|461951N|1174427W|46.3307765|-117.7407129|||||1026|3366|Hopkins Ridge|09/10/1979|02/29/2020
1512676|South Seattle|Populated Place|WA|53|King|033|473341N|1221846W|47.5614876|-122.312903|||||87|285|Seattle South|09/10/1979|
1519982|Glacier Lake|Lake|WA|53|Lewis|041|463259N|1213503W|46.5495937|-121.5840531|||||887|2910|Packwood Lake|09/10/1979|04/10/2019
1519418|Excelsior Creek|Stream|WA|53|Snohomish|061|475150N|1212929W|47.8639949|-121.4914964|475234N|1213233W|47.8762164|-121.54261|245|804|Baring|09/10/1979|
1533910|Quincy Municipal Airport|Airport|WA|53|Grant|025|471242N|1195023W|47.21161|-119.83983|||||387|1270|Quincy|03/01/1990|05/12/2020
1522007|Lemanasky Lake|Reservoir|WA|53|Okanogan|047|484217N|1193739W|48.7047114|-119.6276194|||||1092|3583|Blue Goat Mountain|09/10/1979|05/08/2019
1517400|Carlsborg|Populated Place|WA|53|Clallam|009|480526N|1231020W|48.0906477|-123.1721233|||||54|177|Carlsborg|09/10/1979|03/21/2008
2607182|Country Lane Mobile Home Park|Populated Place|WA|53|Pierce|053|465154N|1221548W|46.8649729|-122.2632104|||||244|801|Eatonville|06/07/2010|10/23/2018
1867640|Waller|Populated Place|WA|53|Pierce|053|471202N|1222209W|47.2006554|-122.3692883|||||121|397|Puyallup|05/15/2000|03/21/2008
1510719|Lower Monumental Dam|Dam|WA|53|Franklin|021|463349N|1183221W|46.5635383|-118.5392466|||||167|548|Lower Monumental Dam|09/10/1979|03/21/2019
1509251|Wah - Lal - La - Kite Cemetery|Cemetery|WA|53|Yakima|077|463125N|1204439W|46.5237064|-120.7442712|||||527|1729|Wiley City|09/10/1979|02/10/2017
1532212|Lincoln Reservoir Dam|Dam|WA|53|King|033|473659N|1221910W|47.6164873|-122.3195706|||||97|318|Seattle South|11/01/1991|04/18/2008
1516087|Bald Mountain|Summit|WA|53|Okanogan|047|485712N|1201534W|48.9533607|-120.2595709|||||2419|7936|Ashnola Pass|09/10/1979|02/26/2020
1503421|Blair Waterway|Bay|WA|53|Pierce|053|471556N|1222333W|47.2654263|-122.3925401|||||2|7|Tacoma North|09/10/1979|05/17/2019
1532574|Kyte Dam|Dam|WA|53|Thurston|067|464629N|1225746W|46.7748236|-122.962911|||||74|243|Violet Prairie|11/01/1991|
1503595|Bucher Spring|Spring|WA|53|Asotin|003|460032N|1172604W|46.0087587|-117.4343411|||||1009|3310|Saddle Butte|09/10/1979|02/21/2017
1528822|Lenton Lake|Lake|WA|53|Okanogan|047|485929N|1194049W|48.9913396|-119.680403|||||408|1339|Nighthawk|08/01/1990|05/06/2019
1518343|Crosby Creek|Stream|WA|53|Okanogan|047|484755N|1195300W|48.7984827|-119.8834143|484709N|1195512W|48.7858333|-119.92|1500|4921|Corral Butte|09/10/1979|
1506840|Mountain View Cemetery|Cemetery|WA|53|Clark|011|455408N|1223304W|45.9023306|-122.551194|||||299|981|Ariel|09/10/1979|11/01/2016
1534296|KEZX-AM (Seattle)|Tower|WA|53|King|033|473510N|1221115W|47.5862106|-122.1876226|||||5|16|Mercer Island|07/01/1994|
1520818|Hinkleman Spring|Spring|WA|53|Kittitas|037|471458N|1200904W|47.2495736|-120.1511719|||||745|2444|Stray Gulch|09/10/1979|
2408849|Moclips Census Designated Place|Census|WA|53|Grays Harbor|027|471406N|1241210W|47.2348838|-124.2026917|||||19|62|Moclips|03/11/2008|05/21/2020
1525859|Skeeter Creek|Stream|WA|53|Kittitas|037|473235N|1210558W|47.5431698|-121.0995385|473308N|1210439W|47.5522222|-121.0775|1026|3366|The Cradle|09/10/1979|
2607452|Leisure Estates Mobile Home Park|Populated Place|WA|53|King|033|472855N|1221001W|47.4820318|-122.1668538|||||112|367|Renton|06/07/2010|10/23/2018
1524519|Pobst Canyon|Valley|WA|53|Chelan|007|474659N|1204021W|47.7831129|-120.6724186|474740N|1204113W|47.7943187|-120.6869971|598|1962|Plain|09/10/1979|03/18/2020
1522943|Mccue Ridge|Ridge|WA|53|Chelan|007|474413N|1205413W|47.7368604|-120.9035192|||||2112|6929|Chiwaukum Mountains|09/10/1979|02/28/2020
1507262|Palm Lake|Lake|WA|53|Adams|001|471128N|1180256W|47.1912311|-118.0489539|||||565|1854|Palm Lake|09/10/1979|03/21/2019
1506211|Little Mountain|Summit|WA|53|Lewis|041|462818N|1230901W|46.4717711|-123.15041|||||482|1581|Boistfort Peak|09/10/1979|
1517406|Carlton Ridge|Ridge|WA|53|Lewis|041|464338N|1212731W|46.7271775|-121.4585432|||||1723|5653|White Pass|09/10/1979|07/14/2017
1522632|Maggie Creek|Stream|WA|53|Lewis|041|464022N|1214455W|46.672888|-121.7487025|464106N|1214404W|46.685|-121.7344444|628|2060|Tatoosh Lakes|09/10/1979|
2781646|Grandview Post Office|Post Office|WA|53|Yakima|077|461518N|1195420W|46.2550983|-119.9055492|||||245|804|Grandview|01/25/2017|
